  | myspell-is_IS            | MySpell is_IS Dictionary                          | package
  | myspell-it_IT            | MySpell it_IT Dictionary                          | package
  | myspell-kmr_Latn         | MySpell kmr_Latn Dictionary                       | package
  | myspell-kmr_Latn_SY      | MySpell kmr_Latn_SY Dictionary                    | package
  | myspell-kmr_Latn_TR      | MySpell kmr_Latn_TR Dictionary                    | package
  | myspell-lightproof-en    | Lightproof for en                                 | package
  | myspell-lightproof-hu_HU | Lightproof for hu_HU                              | package
  | myspell-lightproof-pt_BR | Lightproof for pt_BR                              | package
  | myspell-lightproof-ru_RU | Lightproof for ru_RU                              | package
  | myspell-lo_LA            | MySpell lo_LA Dictionary                          | package
  | myspell-lt_LT            | MySpell lt_LT Dictionary                          | package
  | myspell-lv_LV            | MySpell lv_LV Dictionary                          | package
  | myspell-nb_NO            | MySpell nb_NO Dictionary                          | package
  | myspell-ne_NP            | MySpell ne_NP Dictionary                          | package
  | myspell-nl_BE            | MySpell nl_BE Dictionary                          | package
  | myspell-nl_NL            | MySpell nl_NL Dictionary                          | package
  | myspell-nn_NO            | MySpell nn_NO Dictionary                          | package
  | myspell-no               | MySpell no Dictionary                             | package
  | myspell-oc_FR            | MySpell oc_FR Dictionary                          | package
  | myspell-pl_PL            | MySpell pl_PL Dictionary                          | package
  | myspell-pt_AO            | MySpell pt_AO Dictionary                          | package
  | myspell-pt_BR            | MySpell pt_BR Dictionary                          | package
  | myspell-pt_PT            | MySpell pt_PT Dictionary                          | package
  | myspell-ro               | MySpell ro Dictionary                             | package
  | myspell-ro_RO            | MySpell ro_RO Dictionary                          | package
  | myspell-ru_RU            | MySpell ru_RU Dictionary                          | package
  | myspell-si_LK            | MySpell si_LK Dictionary                          | package
  | myspell-sk_SK            | MySpell sk_SK Dictionary                          | package
  | myspell-sl_SI            | MySpell sl_SI Dictionary                          | package
  | myspell-sq_AL            | MySpell sq_AL Dictionary                          | package
  | myspell-sr               | MySpell sr Dictionary                             | package
  | myspell-sr_CS            | MySpell sr_CS Dictionary                          | package
  | myspell-sr_Latn_CS       | MySpell sr_Latn_CS Dictionary                     | package
  | myspell-sr_Latn_RS       | MySpell sr_Latn_RS Dictionary                     | package
  | myspell-sr_RS            | MySpell sr_RS Dictionary                          | package
  | myspell-sv_FI            | MySpell sv_FI Dictionary                          | package
  | myspell-sv_SE            | MySpell sv_SE Dictionary                          | package
  | myspell-sw_TZ            | MySpell sw_TZ Dictionary                          | package
  | myspell-te               | MySpell te Dictionary                             | package
  | myspell-te_IN            | MySpell te_IN Dictionary                          | package
  | myspell-th_TH            | MySpell th_TH Dictionary                          | package
  | myspell-tr               | MySpell tr Dictionary                             | package
  | myspell-tr_TR            | MySpell tr_TR Dictionary                          | package
  | myspell-uk_UA            | MySpell uk_UA Dictionary                          | package
  | myspell-vi               | MySpell vi Dictionary                             | package
  | myspell-vi_VN            | MySpell vi_VN Dictionary                          | package
  | myspell-zu_ZA            | MySpell zu_ZA Dictionary                          | package
